awarderName,awardedName,awardedImage,challengeID,awarderID,awardName,awardImage,awardID,awardedID
xianart,skewsme,927750,1323,53572,red,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657242.jpg,red,50641
xianart,smyk,927852,1320,53572,red,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657242.jpg,red,48954
xianart,bspurgeon,927853,1320,53572,blue,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657241.jpg,blue,54645
xianart,clive_patric_nolan,927405,1320,53572,yellow,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657243.jpg,yellow,102278
vlado,timfythetoo,901251,1249,32011,MUPIMHO,http://images.dpchallenge.com/images_portfolio/30000-34999/32011/800/Copyrighted_Image_Reuse_Prohibited_858386.png,MUPIMHO,53147
vlado,posthumous,902964,1252,32011,MUPIMHO,http://images.dpchallenge.com/images_portfolio/30000-34999/32011/800/Copyrighted_Image_Reuse_Prohibited_858386.png,MUPIMHO,50695
vlado,tanguera,910040,1270,32011,MUPIMHO,http://images.dpchallenge.com/images_portfolio/30000-34999/32011/800/Copyrighted_Image_Reuse_Prohibited_858386.png,MUPIMHO,96751
xianart,posthumous,926969,1319,53572,red,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657242.jpg,red,50695
xianart,cutout,926846,1319,53572,blue,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657241.jpg,blue,74588
vlado,love,902877,1251,32011,MUPIMHO,http://images.dpchallenge.com/images_portfolio/30000-34999/32011/800/Copyrighted_Image_Reuse_Prohibited_858386.png,MUPIMHO,33361
paulbtlw,skewsme,963395,1415,100393,unconventional eye,http://images.dpchallenge.com/images_portfolio/100000-104999/100393/120/Copyrighted_Image_Reuse_Prohibited_859062.jpg,unconventional eye,50641
posthumous,james_so,983573,1481,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,38725
bspurgeon,lobrin,979652,1472,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,127081
posthumous,mycelium,983904,1481,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,17507
posthumous,mariuca,982864,1479,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,124815
xianart,odriew,922104,1293,53572,red,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657242.jpg,red,75618
Dr. Confuser,Love6,922345,1293,18197,Purple Prose Winner,http://images.dpchallenge.com/images_portfolio/15000-19999/18197/120/Copyrighted_Image_Reuse_Prohibited_896464.gif,Purple Prose Winner,33769
xianart,krukvaext,918371,1293,53572,yellow,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657243.jpg,yellow,16392
posthumous,jmritz,982356,1479,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,11769
posthumous,tonywan,982601,1474,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,119771
xianart,Carlo21,923142,1293,53572,blue,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657241.jpg,blue,12250
xianart,whiteroom,923706,1307,53572,red,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657242.jpg,red,16241
xianart,jmritz,923250,1307,53572,blue,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657241.jpg,blue,11769
bspurgeon,posthumous,980099,1471,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,50695
xianart,skewsme,923193,1307,53572,yellow,http://images.dpchallenge.com/images_portfolio/50000-54999/53572/120/Copyrighted_Image_Reuse_Prohibited_657243.jpg,yellow,50641
bspurgeon,Insomniac,979020,1469,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,105130
bspurgeon,jmritz,978548,1469,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,11769
bspurgeon,Hingo,978852,1469,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,118791
paulbtlw,dahlin,954251,1387,100393,unconventional eye,http://images.dpchallenge.com/images_portfolio/100000-104999/100393/120/Copyrighted_Image_Reuse_Prohibited_859062.jpg,unconventional eye,23317
posthumous,jmritz,981579,1477,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,11769
Yo_Spiff,sempermarine,973591,1454,83313,shoehorn blue,http://images.dpchallenge.com/images_portfolio/80000-84999/83313/120/Copyrighted_Image_Reuse_Prohibited_737193.jpg,shoehorn blue,89723
Yo_Spiff,smardaz,970743,1447,83313,shoehorn yellos,http://images.dpchallenge.com/images_portfolio/80000-84999/83313/120/Copyrighted_Image_Reuse_Prohibited_737194.jpg,shoehorn yellos,69325
Yo_Spiff,ecmguy,970316,1447,83313,shoehorn red,http://images.dpchallenge.com/images_portfolio/80000-84999/83313/120/Copyrighted_Image_Reuse_Prohibited_737192.jpg,shoehorn red,128323
Yo_Spiff,Tiny,970364,1446,83313,shoehorn red,http://images.dpchallenge.com/images_portfolio/80000-84999/83313/120/Copyrighted_Image_Reuse_Prohibited_737192.jpg,shoehorn red,118154
Yo_Spiff,skewsme,970748,1446,83313,shoehorn blue,http://images.dpchallenge.com/images_portfolio/80000-84999/83313/120/Copyrighted_Image_Reuse_Prohibited_737193.jpg,shoehorn blue,50641
Dr. Confuser,bassbone,893461,1221,18197,Purple Prose Winner,http://images.dpchallenge.com/images_portfolio/15000-19999/18197/120/Copyrighted_Image_Reuse_Prohibited_896464.gif,Purple Prose Winner,67152
paulbtlw,bspurgeon,949004,1371,100393,unconventional eye,http://images.dpchallenge.com/images_portfolio/100000-104999/100393/120/Copyrighted_Image_Reuse_Prohibited_859062.jpg,unconventional eye,54645
Yo_Spiff,kathyandmango,970747,1446,83313,shoehorn yellos,http://images.dpchallenge.com/images_portfolio/80000-84999/83313/120/Copyrighted_Image_Reuse_Prohibited_737194.jpg,shoehorn yellos,125389
